obsDate;name;openValue;closeValue;higherValue;lowerValue;volume;marketType;currency
24/11/2021;Google;2909,470;2922,400;2924,985;2887,460;902007,000;1;1
24/11/2021;Microsoft;336,280;337,910;338,160;333,911;21661310,000;1;1
24/11/2021;Tesla;1080,390;1116,000;1132,770;1062,000;22560240,000;1;1
23/11/2021;Apple;161,120;161,410;161,800;159,060;96041900,000;1;1
23/11/2021;Facebook;338,930;337,250;341,400;333,500;17224990,000;1;1
23/11/2021;Google;2923,060;2915,640;2933,200;2882,300;1361558,000;1;1
23/11/2021;Microsoft;337,050;337,680;339,450;333,560;30427560,000;1;1
23/11/2021;Tesla;1167,510;1109,030;1180,500;1062,700;36171700,000;1;1
22/11/2021;Apple;161,680;161,020;165,700;161,000;117467900,000;1;1
22/11/2021;Facebook;349,050;341,010;353,830;340,510;27116810,000;1;1
22/11/2021;Google;2986,650;2926,040;2996,590;2922,950;1531460,000;1;1
22/11/2021;Microsoft;344,620;339,830;349,670;339,550;31031110,000;1;1
22/11/2021;Tesla;1162,330;1156,870;1201,950;1132,430;33072510,000;1;1
19/11/2021;Apple;157,650;160,550;161,020;156,533;117305600,000;1;1
19/11/2021;Facebook;342,200;345,300;352,100;339,900;26488540,000;1;1
19/11/2021;Google;2999,509;2978,530;3019,330;2977,980;1684969,000;1;1
19/11/2021;Microsoft;342,640;343,110;345,100;342,200;21963400,000;1;1
19/11/2021;Tesla;1098,870;1137,060;1138,720;1092,700;21642260,000;1;1
18/11/2021;Apple;153,710;157,870;158,670;153,050;137827700,000;1;1
18/11/2021;Facebook;339,720;338,690;342,460;335,300;17487240,000;1;1
18/11/2021;Google;2964,830;2996,770;3011,610;2957,690;1781411,000;1;1
18/11/2021;Microsoft;338,180;341,270;342,450;337,120;22463530,000;1;1
18/11/2021;Tesla;1106,550;1096,380;1112,000;1075,020;20898930,000;1;1
17/11/2021;Apple;150,995;153,490;155,000;150,990;88807000,000;1;1
17/11/2021;Facebook;344,240;340,770;347,300;340,100;13602810,000;1;1
17/11/2021;Google;2960,550;2960,940;2971,190;2944,800;979975,000;1;1
17/11/2021;Microsoft;338,940;339,120;342,190;338,000;19053380,000;1;1
17/11/2021;Tesla;1063,510;1089,010;1119,640;1055,500;31445370,000;1;1
16/11/2021;Apple;149,940;151,000;151,488;149,340;59256210,000;1;1
16/11/2021;Facebook;343,830;342,960;346,650;340,870;18181110,000;1;1
16/11/2021;Google;2962,990;2957,520;2975,250;2946,250;945200,000;1;1
16/11/2021;Microsoft;335,680;339,510;340,670;335,510;20886830,000;1;1
16/11/2021;Tesla;1003,310;1054,730;1057,200;1002,180;26542360,000;1;1
15/11/2021;Apple;150,370;150,000;151,880;149,430;59222800,000;1;1
15/11/2021;Facebook;344,340;347,560;353,650;343,200;25076600,000;1;1
15/11/2021;Google;2978,010;2969,040;2990,990;2951,500;1175352,000;1;1
15/11/2021;Microsoft;337,540;336,070;337,880;334,034;16723010,000;1;1
15/11/2021;Tesla;1017,630;1013,390;1031,980;978,600;34775650,000;1;1
12/11/2021;Apple;148,430;149,990;150,400;147,480;63804010,000;1;1
12/11/2021;Facebook;330,180;340,890;341,860;329,780;25414310,000;1;1
12/11/2021;Google;2932,310;2973,560;2977,000;2908,220;1118000,000;1;1
12/11/2021;Tesla;1047,500;1033,420;1054,500;1019,200;25573150,000;1;1
11/11/2021;Apple;148,960;147,870;149,430;147,681;40999950,000;1;1
11/11/2021;Facebook;329,820;327,740;332,459;327,000;12376560,000;1;1
11/11/2021;Google;2929,790;2915,330;2950,710;2912,010;825874,000;1;1
11/11/2021;Microsoft;331,250;332,430;333,775;330,510;16849840,000;1;1
11/11/2021;Tesla;1102,770;1063,510;1104,970;1054,680;22396570,000;1;1
10/11/2021;Apple;150,020;147,920;150,130;147,850;65187090,000;1;1
10/11/2021;Facebook;332,490;327,640;333,190;325,510;21872610,000;1;1
10/11/2021;Google;2950,000;2917,870;2961,400;2890,750;1498490,000;1;1
10/11/2021;Microsoft;292,920;294,230;297,970;292,745;19298630,000;1;1
10/11/2021;Tesla;1010,410;1067,950;1078,100;987,310;42802720,000;1;1
09/11/2021;Apple;150,200;150,810;151,428;150,060;56787930,000;1;1
09/11/2021;Facebook;340,000;335,370;341,308;334,470;17556720,000;1;1
09/11/2021;Google;2984,660;2978,370;2996,690;2944,895;976487,000;1;1
09/11/2021;Tesla;1173,600;1023,500;1174,500;1011,520;59105840,000;1;1
08/11/2021;Apple;151,410;150,440;151,570;150,160;55020870,000;1;1
08/11/2021;Facebook;344,420;338,620;344,789;338,340;18342460,000;1;1
08/11/2021;Google;2996,500;2980,620;3012,295;2968,610;1152625,000;1;1
08/11/2021;Microsoft;287,210;286,950;288,660;285,860;13955930,000;1;1
08/11/2021;Tesla;1149,785;1162,940;1197,000;1133,000;33445720,000;1;1
06/11/2021;Microsoft;257,985;257,890;258,487;256,610;18999730,000;1;1
05/11/2021;Apple;151,890;151,280;152,200;150,060;65463880,000;1;1
05/11/2021;Facebook;340,310;341,130;346,790;339,640;26872820,000;1;1
05/11/2021;Google;2983,390;2977,040;3006,550;2963,940;1917737,000;1;1
05/11/2021;Microsoft;244,550;246,230;246,600;242,570;33641590,000;1;1
05/11/2021;Tesla;1228,000;1222,090;1239,870;1208,000;21628810,000;1;1
04/11/2021;Apple;151,580;150,960;152,430;150,640;60394620,000;1;1
04/11/2021;Facebook;334,007;335,850;337,273;332,650;22495280,000;1;1
04/11/2021;Google;2942,490;2965,350;2994,670;2926,160;1920563,000;1;1
04/11/2021;Tesla;1234,410;1229,910;1243,490;1217,000;25397410,000;1;1
03/11/2021;Apple;150,390;151,490;151,970;149,820;54511530,000;1;1
03/11/2021;Facebook;327,490;331,620;332,150;323,200;20786500,000;1;1
03/11/2021;Google;2918,010;2931,960;2933,380;2891,820;1374662,000;1;1
03/11/2021;Microsoft;234,960;237,130;239,170;234,310;29907590,000;1;1
03/11/2021;Tesla;1177,330;1213,860;1215,390;1152,620;34628520,000;1;1
02/11/2021;Apple;148,660;150,020;151,570;148,650;69121990,000;1;1
02/11/2021;Facebook;331,380;328,080;334,790;323,800;28352970,000;1;1
02/11/2021;Google;2891,590;2908,650;2932,180;2886,710;1674112,000;1;1
02/11/2021;Microsoft;244,780;244,490;245,150;242,150;15751060,000;1;1
02/11/2021;Tesla;1159,355;1172,000;1208,590;1146,000;42737800,000;1;1
01/11/2021;Apple;148,985;148,960;149,700;147,800;74588260,000;1;1
01/11/2021;Facebook;326,040;329,980;333,450;326,000;31518890,000;1;1
01/11/2021;Google;2960,920;2869,940;2960,920;2864,510;2346162,000;1;1
01/11/2021;Microsoft;218,470;217,490;218,910;216,730;23047030,000;1;1
01/11/2021;Tesla;1145,000;1208,590;1209,750;1118,660;56048720,000;1;1
29/10/2021;Apple;147,215;149,800;149,940;146,413;124953200,000;1;1
29/10/2021;Facebook;320,190;323,570;326,000;319,600;37059380,000;1;1
29/10/2021;Google;2901,560;2960,920;2964,840;2892,990;2166015,000;1;1
29/10/2021;Microsoft;324,130;331,620;332,000;323,900;34765980,000;1;1
29/10/2021;Tesla;1081,860;1114,000;1115,210;1073,205;29918420,000;1;1
28/10/2021;Apple;149,820;152,570;153,165;149,720;100077900,000;1;1
28/10/2021;Facebook;312,990;316,920;325,520;308,110;50806840,000;1;1
28/10/2021;Google;2942,690;2916,980;2943,160;2892,535;1810319,000;1;1
28/10/2021;Microsoft;324,325;324,350;324,870;321,360;26297940,000;1;1
28/10/2021;Tesla;1068,305;1077,040;1081,000;1054,200;27213170,000;1;1
27/10/2021;Apple;149,360;148,850;149,730;148,490;56094930,000;1;1
